Date,FEDFUNDS
1/1/2021,0.09
1/2/2021,0.09
1/3/2021,0.09
1/4/2021,0.09
1/5/2021,0.09
1/6/2021,0.09
1/7/2021,0.09
1/8/2021,0.09
1/9/2021,0.09
1/10/2021,0.09
1/11/2021,0.09
1/12/2021,0.09
1/13/2021,0.09
1/14/2021,0.09
1/15/2021,0.09
1/16/2021,0.09
1/17/2021,0.09
1/18/2021,0.09
1/19/2021,0.09
1/20/2021,0.09
1/21/2021,0.09
1/22/2021,0.09
1/23/2021,0.09
1/24/2021,0.09
1/25/2021,0.09
1/26/2021,0.09
1/27/2021,0.09
1/28/2021,0.09
1/29/2021,0.09
1/30/2021,0.09
1/31/2021,0.09
2/1/2021,0.08
2/2/2021,0.08
2/3/2021,0.08
2/4/2021,0.08
2/5/2021,0.08
2/6/2021,0.08
2/7/2021,0.08
2/8/2021,0.08
2/9/2021,0.08
2/10/2021,0.08
2/11/2021,0.08
2/12/2021,0.08
2/13/2021,0.08
2/14/2021,0.08
2/15/2021,0.08
2/16/2021,0.08
2/17/2021,0.08
2/18/2021,0.08
2/19/2021,0.08
2/20/2021,0.08
2/21/2021,0.08
2/22/2021,0.08
2/23/2021,0.08
2/24/2021,0.08
2/25/2021,0.08
2/26/2021,0.08
2/27/2021,0.08
2/28/2021,0.08
3/1/2021,0.07
3/2/2021,0.07
3/3/2021,0.07
3/4/2021,0.07
3/5/2021,0.07
3/6/2021,0.07
3/7/2021,0.07
3/8/2021,0.07
3/9/2021,0.07
3/10/2021,0.07
3/11/2021,0.07
3/12/2021,0.07
3/13/2021,0.07
3/14/2021,0.07
3/15/2021,0.07
3/16/2021,0.07
3/17/2021,0.07
3/18/2021,0.07
3/19/2021,0.07
3/20/2021,0.07
3/21/2021,0.07
3/22/2021,0.07
3/23/2021,0.07
3/24/2021,0.07
3/25/2021,0.07
3/26/2021,0.07
3/27/2021,0.07
3/28/2021,0.07
3/29/2021,0.07
3/30/2021,0.07
3/31/2021,0.07
4/1/2021,0.07
4/2/2021,0.07
4/3/2021,0.07
4/4/2021,0.07
4/5/2021,0.07
4/6/2021,0.07
4/7/2021,0.07
4/8/2021,0.07
4/9/2021,0.07
4/10/2021,0.07
4/11/2021,0.07
4/12/2021,0.07
4/13/2021,0.07
4/14/2021,0.07
4/15/2021,0.07
4/16/2021,0.07
4/17/2021,0.07
4/18/2021,0.07
4/19/2021,0.07
4/20/2021,0.07
4/21/2021,0.07
4/22/2021,0.07
4/23/2021,0.07
4/24/2021,0.07
4/25/2021,0.07
4/26/2021,0.07
4/27/2021,0.07
4/28/2021,0.07
4/29/2021,0.07
4/30/2021,0.07
5/1/2021,0.06
5/2/2021,0.06
5/3/2021,0.06
5/4/2021,0.06
5/5/2021,0.06
5/6/2021,0.06
5/7/2021,0.06
5/8/2021,0.06
5/9/2021,0.06
5/10/2021,0.06
5/11/2021,0.06
5/12/2021,0.06
5/13/2021,0.06
5/14/2021,0.06
5/15/2021,0.06
5/16/2021,0.06
5/17/2021,0.06
5/18/2021,0.06
5/19/2021,0.06
5/20/2021,0.06
5/21/2021,0.06
5/22/2021,0.06
5/23/2021,0.06
5/24/2021,0.06
5/25/2021,0.06
5/26/2021,0.06
5/27/2021,0.06
5/28/2021,0.06
5/29/2021,0.06
5/30/2021,0.06
5/31/2021,0.06
6/1/2021,0.08
6/2/2021,0.08
6/3/2021,0.08
6/4/2021,0.08
6/5/2021,0.08
6/6/2021,0.08
6/7/2021,0.08
6/8/2021,0.08
6/9/2021,0.08
6/10/2021,0.08
6/11/2021,0.08
6/12/2021,0.08
6/13/2021,0.08
6/14/2021,0.08
6/15/2021,0.08
6/16/2021,0.08
6/17/2021,0.08
6/18/2021,0.08
6/19/2021,0.08
6/20/2021,0.08
6/21/2021,0.08
6/22/2021,0.08
6/23/2021,0.08
6/24/2021,0.08
6/25/2021,0.08
6/26/2021,0.08
6/27/2021,0.08
6/28/2021,0.08
6/29/2021,0.08
6/30/2021,0.08
7/1/2021,0.1
7/2/2021,0.1
7/3/2021,0.1
7/4/2021,0.1
7/5/2021,0.1
7/6/2021,0.1
7/7/2021,0.1
7/8/2021,0.1
7/9/2021,0.1
7/10/2021,0.1
7/11/2021,0.1
7/12/2021,0.1
7/13/2021,0.1
7/14/2021,0.1
7/15/2021,0.1
7/16/2021,0.1
7/17/2021,0.1
7/18/2021,0.1
7/19/2021,0.1
7/20/2021,0.1
7/21/2021,0.1
7/22/2021,0.1
7/23/2021,0.1
7/24/2021,0.1
7/25/2021,0.1
7/26/2021,0.1
7/27/2021,0.1
7/28/2021,0.1
7/29/2021,0.1
7/30/2021,0.1
7/31/2021,0.1
8/1/2021,0.09
8/2/2021,0.09
8/3/2021,0.09
8/4/2021,0.09
8/5/2021,0.09
8/6/2021,0.09
8/7/2021,0.09
8/8/2021,0.09
8/9/2021,0.09
8/10/2021,0.09
8/11/2021,0.09
8/12/2021,0.09
8/13/2021,0.09
8/14/2021,0.09
8/15/2021,0.09
8/16/2021,0.09
8/17/2021,0.09
8/18/2021,0.09
8/19/2021,0.09
8/20/2021,0.09
8/21/2021,0.09
8/22/2021,0.09
8/23/2021,0.09
8/24/2021,0.09
8/25/2021,0.09
8/26/2021,0.09
8/27/2021,0.09
8/28/2021,0.09
8/29/2021,0.09
8/30/2021,0.09
8/31/2021,0.09
9/1/2021,0.08
9/2/2021,0.08
9/3/2021,0.08
9/4/2021,0.08
9/5/2021,0.08
9/6/2021,0.08
9/7/2021,0.08
9/8/2021,0.08
9/9/2021,0.08
9/10/2021,0.08
9/11/2021,0.08
9/12/2021,0.08
9/13/2021,0.08
9/14/2021,0.08
9/15/2021,0.08
9/16/2021,0.08
9/17/2021,0.08
9/18/2021,0.08
9/19/2021,0.08
9/20/2021,0.08
9/21/2021,0.08
9/22/2021,0.08
9/23/2021,0.08
9/24/2021,0.08
9/25/2021,0.08
9/26/2021,0.08
9/27/2021,0.08
9/28/2021,0.08
9/29/2021,0.08
9/30/2021,0.08
10/1/2021,0.08
10/2/2021,0.08
10/3/2021,0.08
10/4/2021,0.08
10/5/2021,0.08
10/6/2021,0.08
10/7/2021,0.08
10/8/2021,0.08
10/9/2021,0.08
10/10/2021,0.08
10/11/2021,0.08
10/12/2021,0.08
10/13/2021,0.08
10/14/2021,0.08
10/15/2021,0.08
