,date,count,normalized
331,2021-01-02,1,0.0
330,2021-01-04,1,0.527
329,2021-01-08,1,0.382
328,2021-06-18,1,-0.25
327,2021-07-27,1,0.0
326,2021-09-17,19,0.0259
325,2021-09-18,1,-0.733
324,2021-09-19,1,0.975
323,2021-09-20,16,0.3374
322,2021-09-21,93,0.0343
321,2021-09-22,106,0.0698
320,2021-09-23,114,0.1896
319,2021-09-24,120,0.0828
318,2021-09-25,40,0.0276
317,2021-09-26,37,0.0358
316,2021-09-27,101,0.1569
315,2021-09-28,94,0.0423
314,2021-09-29,129,0.2888
313,2021-09-30,47,0.4579
312,2021-10-01,36,0.5284
311,2021-10-02,5,0.5902
310,2021-10-03,5,0.4322
309,2021-10-04,33,0.3019
308,2021-10-05,37,0.4647
307,2021-10-06,52,0.3665
306,2021-10-07,47,0.7704
305,2021-10-08,38,0.6388
304,2021-10-09,6,0.7302
303,2021-10-10,6,0.4953
302,2021-10-11,125,0.4227
301,2021-10-12,161,0.3047
300,2021-10-13,186,0.2652
299,2021-10-14,178,0.2922
298,2021-10-15,203,0.3828
297,2021-10-16,86,0.3515
296,2021-10-17,71,0.3287
295,2021-10-18,199,0.3778
294,2021-10-19,209,0.3263
293,2021-10-20,232,0.3624
292,2021-10-21,211,0.2776
291,2021-10-22,162,0.2875
290,2021-10-23,47,0.2528
289,2021-10-24,13,0.5679
288,2021-10-25,52,0.6601
287,2021-10-26,34,0.8571
286,2021-10-27,45,0.649
285,2021-10-28,39,0.7057
284,2021-10-29,42,0.5966
283,2021-10-30,8,0.4085
282,2021-10-31,14,0.4819
281,2021-11-01,58,0.5738
280,2021-11-02,50,0.4653
279,2021-11-03,59,0.5087
278,2021-11-04,63,0.4894
277,2021-11-05,57,0.5617
276,2021-11-06,10,0.4454
275,2021-11-07,14,0.1641
274,2021-11-08,47,0.6057
273,2021-11-09,49,0.6336
272,2021-11-10,67,0.5456
271,2021-11-11,70,0.3185
270,2021-11-12,70,0.4046
269,2021-11-13,19,0.4871
268,2021-11-14,18,0.4349
267,2021-11-15,59,0.568
266,2021-11-16,70,0.5015
265,2021-11-17,68,0.4052
264,2021-11-18,64,0.4599
263,2021-11-19,63,0.2244
262,2021-11-20,19,0.5113
261,2021-11-21,17,0.3932
